"nr_crt","autoritate_tutelara","intreprindere","cui","personal","calitate_membru","suma","indemnizatie_variabila","suma_num","indemnizatie_variabila_num"
"12","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RADIOACTIV MINERAL MAGURELE","16695222","Cazacu Emilian","Director/directorat","24,350","292,200","24350","292200"
"13","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","BLUE AIR TECHNIC","42790517","Marcut Adrian","Membru CA/CS","5,128","61,536","5128","61536"
"13","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","BLUE AIR TECHNIC","42790517","Teleasa Ion-Adrian","Membru CA/CS","5,128","61,536","5128","61536"
"13","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","BLUE AIR TECHNIC","42790517","Dumitru Dan-Viorel","Director/directorat","30,718","368,616","30718","368616"
"13","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","BLUE AIR TECHNIC","42790517","Soltuz Luiza","Director/directorat","28,462","341,544","28462","341544"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Ilasi Sorin -Viorel","Membru CA/CS","3,410","40,920","3410","40920"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Ilie Mihai","Membru CA/CS","3,410","40,920","3410","40920"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Vijulie Cristinel","Membru CA/CS","3,410","40,920","3410","40920"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Baicu Remus -Constantin","Membru CA/CS","3,410","40,920","3410","40920"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Nicola Cosmin-Liviu","Membru CA/CS","3,410","40,920","3410","40920"
"14","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","COMALEX","1973568","Georgescu Bogdan-Cristian","Membru CA/CS","10,270","123,240","10270","123240"
"15","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RECONS","1384767","Alexandrescu Florin-Cristian","Membru CA/CS","875","10,500","875","10500"
"15","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RECONS","1384767","Ceanga Elena-Cornelia","Membru CA/CS","875","10,500","875","10500"
"15","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","RECONS","1384767","Lefter Victor","Director/directorat","1,747","20,964","1747","20964"
"16","AUTORITATEA PENTRU ADMINISTRAREA ACTIVELOR STATULUI","TRIMEC","1960487","Insolventa/Diverse","Insolventa/Diverse","/","","0","0"
"17","MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE","SOCIETATEA NATIONALA CASA ROMANA DE COMERT AGROALIMENTAR UNIREA","40379770","Radu Ionuț-Victor","Director/directorat","15,787","","15787","0"
"17","MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE","SOCIETATEA NATIONALA CASA ROMANA DE COMERT AGROALIMENTAR UNIREA","40379770","Șerban Cristian","Membru CA/CS","8,204","","8204","0"
"18","AGENTIA DOMENIILOR STATULUI","AGROPRODCOM ODORHEIU SECUIESC","524277","Kosa Imola","Membru CA/CS","300","","300","0"
"18","AGENTIA DOMENIILOR STATULUI","AGROPRODCOM ODORHEIU SECUIESC","524277","Nagy Eva","Membru CA/CS","300","","300","0"
"18","AGENTIA DOMENIILOR STATULUI","AGROPRODCOM ODORHEIU SECUIESC","524277","Bazon Daniel","Membru CA/CS","300","","300","0"
"19","AGENTIA DOMENIILOR STATULUI","AGROPRODCOM LĂZAREA","496401","Len Emil","Membru CA/CS","300","","300","0"
"19","AGENTIA DOMENIILOR STATULUI","AGROPRODCOM LĂZAREA","496401","Neculae Florin","Membru CA/CS","300","","300","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Bomboe Carmen - Andreea","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Coman Eduard -Valentin","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Turcanu Daniela - Anca","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Moraru Liviu-Alexandru","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Păpălă Victor - Daniel*","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Preoteasa Claudiu - Tudorel","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Balazs - Leszai Orsolya","Membru CA/CS","13,350","","13350","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Sorin Toader","Director/directorat","40,946","","40946","0"
"20","MINISTERUL FINANTELOR","COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”","2779625","Nicolae Tudor","Director/directorat","39,446","","39446","0"
"21","MINISTERUL FINANTELOR","FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII","14367083","7 Poziții Vacante În Ca","Membru CA/CS","12,946","","12946","0"
"21","MINISTERUL FINANTELOR","FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII","14367083","Vacant","Membru CA/CS","19,246","","19246","0"
"21","MINISTERUL FINANTELOR","FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII","14367083","Cătălin Leonte","Director/directorat","45,968","","45968","0"
"21","MINISTERUL FINANTELOR","FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRU INTREPRINDERILE MICI ȘI MIJLOCII","14367083","Cosmin-Silviu Baiu","Director/directorat","21,800","","21800","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Crăciun Rada Cosmina","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Stănică Nicolae Cristian","Membru CA/CS","18,900","","18900","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Gurguiatu Elena","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Simion Roxana Andreea","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Vacant","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Juhasz Jacint Attila","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Varga Csaba","Membru CA/CS","12,600","","12600","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Andreea Laura Săndulescu","D  i r e  c  t o  r /  d  i r e  c  t o  r a  t","26,460","","26460","0"
"22","MINISTERUL FINANTELOR","FONDUL ROMÂN DE CONTRAGARANTARE","26308846","Andreea - Magdalena Surcel","Director/directorat","25,200","","25200","0"
"23","MINISTERUL FINANTELOR","FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM","18265884","Marioara Nițu","Membru CA/CS","2,300","","2300","0"
"23","MINISTERUL FINANTELOR","FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM","18265884","Sterica Fudulea","Membru CA/CS","2,300","","2300","0"
"23","MINISTERUL FINANTELOR","FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM","18265884","Mirela Gavrilaș","Membru CA/CS","2,300","","2300","0"
"23","MINISTERUL FINANTELOR","FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM","18265884","Ionica Burla","Director/directorat","15,342","","15342","0"
"23","MINISTERUL FINANTELOR","FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM","18265884","Ovidiu Mihai Munteanu","Director/directorat","10,100","","10100","0"
"24","MINISTERUL FINANTELOR","FONDUL DE GARANTARE A CREDITULUI RURAL - IFN SA","5439903","Insolventa/Diverse","","","","0","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Minea Nicolae","Membru CA/CS","17,674","","17674","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Hamza Adina-Lăcramioara","Membru CA/CS","17,674","","17674","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Mihalache Costin","Membru CA/CS","17,674","","17674","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Sterian Ion","Membru CA/CS","","","0","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Sterian Ion","Director/directorat","80,838","","80838","0"
"25","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Naţională de Transport Gaze Naturale TRANSGAZ","13068733","Lupeanu Marius Vasile","Director/directorat","67,365","","67365","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Ștefăniță Munteanu","Director/directorat","55,050","","55050","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Florin-Cristian Tătaru","Director/directorat","55,050","","55050","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Cătălin-Constantin Nadolu","Director/directorat","55,050","","55050","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Vasile-Cosmin Nicula","Director/directorat","55,050","","55050","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Victor Moraru","Director/directorat","55,050","","55050","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Dascăl Cătălin Andrei","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Atanasiu Teodor","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Păun Costin Mihai","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Vasilescu Alexandru Cristian","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Rusu Rareș Stelian","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Zezeanu Luminița","Membru CA/CS","28,223","","28223","0"
"26","SECRETARIATUL GENERAL AL GUVERNULUI","Compania Națională de Transport al Energiei Electrice TRANSELECTRICA","13328043","Orlandea Dumitru Virgil","Membru CA/CS","28,223","","28223","0"
"27","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM","13278352","Veronica Soare","Membru CA/CS","7,930","","7930","0"
"27","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM","13278352","Alin Ene","Membru CA/CS","7,930","","7930","0"
"27","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM","13278352","Teodor Cojocaru","Membru CA/CS","7,930","","7930","0"
"27","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM","13278352","Cristina Șetran","Director/directorat","55,883","","55883","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Raluca Cristina Ispir","Membru CA/CS","16,000","","16000","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Gheorghe Bolintineanu","Membru CA/CS","16,000","","16000","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Decebal Băescu","Membru CA/CS","16,000","","16000","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Ion Bucur","Membru CA/CS","16,000","","16000","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Adrian-Cristian Constantin","Membru CA/CS","16,000","","16000","0"
"28","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea de Mentenanță a Rețelei de Transport SMART","14232728","Gheorghe Bolintineanu","Director/directorat","52,656","","52656","0"
"29","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS","15061510","Victor Andrei Dimitriu","Membru CA/CS","16,000","","16000","0"
"29","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS","15061510","Decebal Băescu","Membru CA/CS","16,000","","16000","0"
"29","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS","15061510","Liviu Călin Butnariu","Membru CA/CS","16,000","","16000","0"
"29","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS","15061510","Băescu Decebal","Director/directorat","67,956","","67956","0"
"29","SECRETARIATUL GENERAL AL GUVERNULUI","Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS","15061510","Mârza Florin Nicolae","Director/directorat","62,293","","62293","0"
"30","SECRETARIATUL GENERAL AL GUVERNULUI","FORMENERG","14529126","Alia Mekkaoui","Membru CA/CS","3,900","","3900","0"
"30","SECRETARIATUL GENERAL AL GUVERNULUI","FORMENERG","14529126","Vasile-Marius Morariu","Membru CA/CS","3,900","","3900","0"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Crîngaşu Daniela","Membru CA/CS","20,512","","20512","0"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Condrea Dragos","Membru CA/CS","20,512","","20512","0"
"31","SECRETARIATUL GENERAL AL GUVERNULUI","Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.)","2351555","Dragota Laura Raluca Alina","Membru CA/CS","20,512","","20512","0"
