"",AUTORITATE PUBLICĂ TUTELARĂ (APT),NUME ÎNTREPRINDERE PUBLICĂ,CUI,"NUME PERSONALCONDUCERE","CALITATE (membru CA/CSdirector/membrudirectorat)","VALOARE INDEMNIZAȚIE FIXĂLUNARĂ CONFORM CONTRACT(Brut-Lei)*","VALOARE INDEMNIZAȚIE VARIABILAANUALĂ CONFORM CONTRACT(Brut-Lei)*"
17,MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE,,40379770,Radu Ionuț-Victor,Director/directorat,"1 5,787",-,
"",,AGROALIMENTAR UNIREA,,,,,,
"",,SOCIETATEA NATIONALA CASA ROMANA DE COMERT,,,,,,
17,MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE,,40379770,Șerban Cristian,Membru CA/CS,"8,204",-,
"",,AGROALIMENTAR UNIREA,,,,,,
"",,SOCIETATEA NATIONALA CASA ROMANA DE COMERT,,,,,,
17,MINISTERUL AGRICULTURII SI DEZVOLTARII RURALE,,40379770,Beres Camelia-Gina,Membru CA/CS,"8,204",-,
"",,AGROALIMENTAR UNIREA,,,,,,
"",AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Kosa Imola,Membru CA/CS,300,-
18,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Nagy Eva,Membru CA/CS,3 00,-
18,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM ODORHEIU SECUIESC,524277,Bazon Daniel,Membru CA/CS,300,-
19,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM LĂZAREA,496401,Len Emil,Membru CA/CS,3 00,
19,AGENTIA DOMENIILOR STATULUI,AGROPRODCOM LĂZAREA,496401,Neculae Florin,Membru CA/CS,3 00,-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Bomboe Carmen - Andreea,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Coman Eduard -Valentin,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Turcanu Daniela - Anca,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Moraru Liviu-Alexandru,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Păpălă Victor - Daniel*,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Preoteasa Claudiu - Tudorel,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Balazs - Leszai Orsolya,Membru CA/CS,"13,350",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Sorin Toader,Director/directorat,"40,946",-
20,MINISTERUL FINANTELOR,COMPANIA NAȚIONALĂ ”IMPRIMERIA NAȚIONALĂ”,2779625,Nicolae Tudor,Director/directorat,"39,446",-
21,MINISTERUL FINANTELOR,"FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRUINTREPRINDERILE MICI ȘI MIJLOCII",14367083,7 Poziții Vacante În Ca,Membru CA/CS,"12,946",-
21,MINISTERUL FINANTELOR,"FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRUINTREPRINDERILE MICI ȘI MIJLOCII",14367083,Vacant,Membru CA/CS,"19,246",
21,MINISTERUL FINANTELOR,"FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRUINTREPRINDERILE MICI ȘI MIJLOCII",14367083,Cătălin Leonte,Director/directorat,"45,968",-
21,MINISTERUL FINANTELOR,"FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRUINTREPRINDERILE MICI ȘI MIJLOCII",14367083,Daniel-Ionuț Stavre,Director/directorat,"33,199",-
"",MINISTERUL FINANTELOR,"FONDUL NAȚIONAL DE GARANTARE A CREDITELOR PENTRUINTREPRINDERILE MICI ȘI MIJLOCII",14367083,Cosmin-Silviu Baiu,Director/directorat,"21,800",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Crăciun Rada Cosmina,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Stănică Nicolae Cristian,Membru CA/CS,"18,900",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Gurguiatu Elena,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Simion Roxana Andreea,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Vacant,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Juhasz Jacint Attila,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Varga Csaba,Membru CA/CS,"12,600",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Andreea Laura Săndulescu,D  i r e  c  t o  r /  d  i r e  c  t o  r a  t,"26,460",-
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Andreea - Magdalena Surcel,Director/directorat,"25,200",-
23,MINISTERUL FINANTELOR,"FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- FilialaFNGCIMM",18265884,Marioara Nițu,Membru CA/CS,"2,300",-
23,MINISTERUL FINANTELOR,"FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- FilialaFNGCIMM",18265884,Sterica Fudulea,Membru CA/CS,"2,300",-
23,MINISTERUL FINANTELOR,"FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- FilialaFNGCIMM",18265884,Mirela Gavrilaș,Membru CA/CS,"2,300",-
23,MINISTERUL FINANTELOR,"FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- FilialaFNGCIMM",18265884,Ionica Burla,Director/directorat,"15,342",-
23,MINISTERUL FINANTELOR,"FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- FilialaFNGCIMM",18265884,Ovidiu Mihai Munteanu,Director/directorat,"10,100",-
24,MINISTERUL FINANTELOR,FONDUL DE GARANTARE A CREDITULUI RURAL - IFN SA,5439903,Insolventa/Diverse,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Naţională de Transport Gaze NaturaleTRANSGAZ",13068733,Minea Nicolae,Membru CA/CS,"17,674",-
25,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Naţională de Transport Gaze NaturaleTRANSGAZ",13068733,Von Derenthall Ilinca,Membru CA/CS,"17,674",-
"",,Societatea Naţională de Transport Gaze Naturale,,,,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,,13068733,Hamza Adina-Lăcramioara,Membru CA/CS,"17,674",-,
"",,TRANSGAZ,,,,,,
"",,Societatea Naţională de Transport Gaze Naturale,,,,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,,13068733,Mihalache Costin,Membru CA/CS,"17,674",-,
"",,TRANSGAZ,,,,,,
"",,Societatea Naţională de Transport Gaze Naturale,,,,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,,13068733,Sterian Ion,Membru CA/CS,-,,Nu a fost stabilită
"",,TRANSGAZ,,,,,,
"",,Societatea Naţională de Transport Gaze Naturale,,,,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,,13068733,Sterian Ion,Director/directorat,"80,838",,Nu a fost stabilită
"",,TRANSGAZ,,,,,,
"",,Societatea Naţională de Transport Gaze Naturale,,,,,,
25,SECRETARIATUL GENERAL AL GUVERNULUI,,13068733,Lupeanu Marius Vasile,Director/directorat,"67,365",,Nu a fost stabilită
"",,TRANSGAZ,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Ștefăniță Munteanu,Director/directorat,"5 5,050",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Florin-Cristian Tătaru,Director/directorat,"5 5,050",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Cătălin-Constantin Nadolu,Director/directorat,"5 5,050",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Vasile-Cosmin Nicula,Director/directorat,"5 5,050",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Victor Moraru,Director/directorat,"5 5,050",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Dascăl Cătălin Andrei,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Atanasiu Teodor,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Păun Costin Mihai,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Vasilescu Alexandru Cristian,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Rusu Rareș Stelian,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Zezeanu Luminița,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Compania Națională de Transport al Energiei Electrice,,,,,,
26,SECRETARIATUL GENERAL AL GUVERNULUI,,13328043,Orlandea Dumitru Virgil,Membru CA/CS,"2 8,223",,
"",,TRANSELECTRICA,,,,,,
"",,Societatea Comercială Operatorul Pieței de Energie,,,,,,
27,SECRETARIATUL GENERAL AL GUVERNULUI,,13278352,Cristian Paraschiv,Membru CA/CS,"7,930",,
"",,Electrică și de Gaze Naturale din România OPCOM,,,,,,
"",SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Comercială Operatorul Pieței de EnergieElectrică și de Gaze Naturale din România OPCOM",13278352,Veronica Soare,Membru CA/CS,"7,930",
27,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Comercială Operatorul Pieței de EnergieElectrică și de Gaze Naturale din România OPCOM",13278352,Alin Ene,Membru CA/CS,"7,930",
27,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Comercială Operatorul Pieței de EnergieElectrică și de Gaze Naturale din România OPCOM",13278352,Teodor Cojocaru,Membru CA/CS,"7,930",
27,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea Comercială Operatorul Pieței de EnergieElectrică și de Gaze Naturale din România OPCOM",13278352,Cristina Șetran,Director/directorat,"5 5,883",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Raluca Cristina Ispir,Membru CA/CS,"1 6,000",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Gheorghe Bolintineanu,Membru CA/CS,"1 6,000",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Decebal Băescu,Membru CA/CS,"1 6,000",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Ion Bucur,Membru CA/CS,"1 6,000",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Adrian-Cristian Constantin,Membru CA/CS,"1 6,000",
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Gheorghe Bolintineanu,Director/directorat,"5 2,656",
29,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea pentru Servicii de Telecomunicaţii şiTehnologia Informaţiei în Reţele Electrice de TransportTELETRANS",15061510,Victor Andrei Dimitriu,Membru CA/CS,"1 6,000",
29,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea pentru Servicii de Telecomunicaţii şiTehnologia Informaţiei în Reţele Electrice de TransportTELETRANS",15061510,Decebal Băescu,Membru CA/CS,"1 6,000",
29,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea pentru Servicii de Telecomunicaţii şiTehnologia Informaţiei în Reţele Electrice de TransportTELETRANS",15061510,Liviu Călin Butnariu,Membru CA/CS,"1 6,000",
29,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea pentru Servicii de Telecomunicaţii şiTehnologia Informaţiei în Reţele Electrice de TransportTELETRANS",15061510,Băescu Decebal,Director/directorat,"6 7,956",
29,SECRETARIATUL GENERAL AL GUVERNULUI,"Societatea pentru Servicii de Telecomunicaţii şiTehnologia Informaţiei în Reţele Electrice de TransportTELETRANS",15061510,Mârza Florin Nicolae,Director/directorat,"6 2,293",
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Alia Mekkaoui,Membru CA/CS,"3,900",
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Vasile-Marius Morariu,Membru CA/CS,"3,900",
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Daniel Balaci,Membru CA/CS,"3,900",
"",SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Crîngaşu Daniela,Membru CA/CS,"20,512",
31,SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Condrea Dragos,Membru CA/CS,"20,512",
31,SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Dragota Laura Raluca Alina,Membru CA/CS,"20,512",
31,SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Mitu Anca,Membru CA/CS,"20,512",
31,SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Grăjdan Marius,Membru CA/CS,-,
31,SECRETARIATUL GENERAL AL GUVERNULUI,"Regia Autonomă Administrația Patrimoniului Protocoluluide Stat (R.A.-A.P.P.S.)",2351555,Grăjdan Marius,Director/directorat,"41,027",
32,SECRETARIATUL GENERAL AL GUVERNULUI,TRANSPORT ROMANIA HIDROGEN S.R.L.,50346389,Insolventa/Diverse,Insolventa/Diverse,Intrerupere activitate,Intrerupere activitate
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Teodor Dulceata,Membru CA/CS,"8,700",-
