unnamed:_0,autoritate_tutelar,intreprindere,cui,personal,calitate,suma,indemnizatie_variabila,suma_num,indemnizatie_variabila_num
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Juhasz Jacint Attila,Membru CA/CS,"12,600",,12600.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Varga Csaba,Membru CA/CS,"12,600",,12600.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Andreea Laura Săndulescu,D  i r e  c  t o  r /  d  i r e  c  t o  r a  t,"26,460",,26460.0,0.0
22,MINISTERUL FINANTELOR,FONDUL ROMÂN DE CONTRAGARANTARE,26308846,Andreea - Magdalena Surcel,Director/directorat,"25,200",,25200.0,0.0
23,MINISTERUL FINANTELOR,FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM,18265884,Marioara Nițu,Membru CA/CS,"2,300",,2300.0,0.0
23,MINISTERUL FINANTELOR,FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM,18265884,Sterica Fudulea,Membru CA/CS,"2,300",,2300.0,0.0
23,MINISTERUL FINANTELOR,FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM,18265884,Mirela Gavrilaș,Membru CA/CS,"2,300",,2300.0,0.0
23,MINISTERUL FINANTELOR,FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM,18265884,Ionica Burla,Director/directorat,"15,342",,15342.0,0.0
23,MINISTERUL FINANTELOR,FONDUL LOCAL DE GARANTARE FOCȘANI IFN SA- Filiala FNGCIMM,18265884,Ovidiu Mihai Munteanu,Director/directorat,"10,100",,10100.0,0.0
24,MINISTERUL FINANTELOR,FONDUL DE GARANTARE A CREDITULUI RURAL - IFN SA,5439903,Insolventa/Diverse,,,,0.0,0.0
25,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Naţională de Transport Gaze Naturale TRANSGAZ,13068733,Minea Nicolae,Membru CA/CS,"17,674",,17674.0,0.0
25,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Naţională de Transport Gaze Naturale TRANSGAZ,13068733,Von Derenthall Ilinca,Membru CA/CS,"17,674",,17674.0,0.0
,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM,13278352,Veronica Soare,Membru CA/CS,"7,930",,7930.0,0.0
27,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM,13278352,Alin Ene,Membru CA/CS,"7,930",,7930.0,0.0
27,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM,13278352,Teodor Cojocaru,Membru CA/CS,"7,930",,7930.0,0.0
27,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea Comercială Operatorul Pieței de Energie Electrică și de Gaze Naturale din România OPCOM,13278352,Cristina Șetran,Director/directorat,"5 5,883",,55883.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Raluca Cristina Ispir,Membru CA/CS,"1 6,000",,16000.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Gheorghe Bolintineanu,Membru CA/CS,"1 6,000",,16000.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Decebal Băescu,Membru CA/CS,"1 6,000",,16000.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Ion Bucur,Membru CA/CS,"1 6,000",,16000.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Adrian-Cristian Constantin,Membru CA/CS,"1 6,000",,16000.0,0.0
28,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea de Mentenanță a Rețelei de Transport SMART,14232728,Gheorghe Bolintineanu,Director/directorat,"5 2,656",,52656.0,0.0
29,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS,15061510,Victor Andrei Dimitriu,Membru CA/CS,"1 6,000",,16000.0,0.0
29,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS,15061510,Decebal Băescu,Membru CA/CS,"1 6,000",,16000.0,0.0
29,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS,15061510,Liviu Călin Butnariu,Membru CA/CS,"1 6,000",,16000.0,0.0
29,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS,15061510,Băescu Decebal,Director/directorat,"6 7,956",,67956.0,0.0
29,SECRETARIATUL GENERAL AL GUVERNULUI,Societatea pentru Servicii de Telecomunicaţii şi Tehnologia Informaţiei în Reţele Electrice de Transport TELETRANS,15061510,Mârza Florin Nicolae,Director/directorat,"6 2,293",,62293.0,0.0
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Alia Mekkaoui,Membru CA/CS,"3,900",,3900.0,0.0
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Vasile-Marius Morariu,Membru CA/CS,"3,900",,3900.0,0.0
30,SECRETARIATUL GENERAL AL GUVERNULUI,FORMENERG,14529126,Daniel Balaci,Membru CA/CS,"3,900",,3900.0,0.0
,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Crîngaşu Daniela,Membru CA/CS,"20,512",,20512.0,0.0
31,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Condrea Dragos,Membru CA/CS,"20,512",,20512.0,0.0
31,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Dragota Laura Raluca Alina,Membru CA/CS,"20,512",,20512.0,0.0
31,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Mitu Anca,Membru CA/CS,"20,512",,20512.0,0.0
31,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Grăjdan Marius,Membru CA/CS,,,0.0,0.0
31,SECRETARIATUL GENERAL AL GUVERNULUI,Regia Autonomă Administrația Patrimoniului Protocolului de Stat (R.A.-A.P.P.S.),2351555,Grăjdan Marius,Director/directorat,"41,027",,41027.0,0.0
32,SECRETARIATUL GENERAL AL GUVERNULUI,TRANSPORT ROMANIA HIDROGEN S.R.L.,50346389,Insolventa/Diverse,Insolventa/Diverse,Intrerupere activitate,Intrerupere activitate,0.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Teodor Dulceata,Membru CA/CS,"8,700",,8700.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Bruma Vasile,Membru CA/CS,"8,700",,8700.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Arat Oana,Membru CA/CS,"8,700",,8700.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Tudose Mariana,Membru CA/CS,"8,700",,8700.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Elena Mateescu,Director/directorat,"3 8,000",,38000.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Florinela Georgescu,Director/directorat,"2 7,500",,27500.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Rodica Dumitrache,Director/directorat,"27,500",,27500.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Catalin Ostroveanu,Director/directorat,"2 7,500",,27500.0,0.0
33,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",Administrația Națională de Meteorologie RA,11672708,Mircea Catalin Florin,Director/directorat,"3 0,000",,30000.0,0.0
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Apostu Adrian-Dănuț,Membru CA/CS,"1 2,464",,12464.0,0.0
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Nedelcu Corvin,Membru CA/CS,"1 2,464",,12464.0,0.0
,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Lupu Constantin-Codrin,Membru CA/CS,"1 2,464",,12464.0,0.0
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Ciobanu Sorin Călin,Membru CA/CS,"1 2,464",,12464.0,0.0
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Chiriloiu Armand,Membru CA/CS,"1 2,464",,12464.0,0.0
34,"MINISTERUL MEDIULUI, APELOR SI PADURILOR",REGIA NAȚIONALĂ A PĂDURILOR-ROMSILVA,1590120,Sîiulescu Marius-Dan,Director/directorat,23316/46632,,2331646632.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Adam Relu,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Banciu Ionuț-Sorin,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Dănilă Alin-Mihael,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Dragomir Oana Silvia,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Molnar Ervin,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Popescu Elena,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Ștefan Valentin Laurențiu,Membru CA/CS,"1 4,832",,14832.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Chițescu Ștefan Bogdan,Director/directorat,"3 4,149",,34149.0,0.0
35,Administratia Nationala Apele Romane,EXPLOATARE SISTEM ZONAL PRAHOVA,18856244,Hodorog Gabriela,Director/directorat,"2 6,000",,26000.0,0.0
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Bălan Jean Florin,Membru CA/CS,"1 1,457",,11457.0,0.0
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Mureșan Claudiu Marinel,Membru CA/CS,"1 1,457",,11457.0,0.0
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Ardelean Felix Corneliu,Membru CA/CS,"1 1,457",,11457.0,0.0
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Timiș Iuliana Adriana,Director/directorat,"3 3,977",,33977.0,0.0
36,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Societatea TELECOMUNICAȚII CFR,15034095,Simion Melania Oana,Director/directorat,"2 4,000",,24000.0,0.0
,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Bârcă Iuliana Cristina,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Boagiu Anca Daniela,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Săsărman Monica,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Marcu Mirel Alexandru,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Ursu Mihăiță,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Idolu Iulian Daniel,Membru CA/CS,"2 4,148",,24148.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Iordache Costin Ionuț,Director/directorat,"3 7,000",,37000.0,0.0
37,MINISTERUL TRANSPORTURILOR SI INFRASTRUCTURII,Compania Națională de Transporturi Aeriene Române - TAROM,477647,Narcis Obeadă,Director/directorat,"3 6,131",,36131.0,0.0
